Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration
VIC,AusNet,"13/06/2023 06:00
Tuesday","13/06/2023 18:30
Tuesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"14/06/2023 06:00
Wednesday","14/06/2023 18:30
Wednesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"15/06/2023 06:00
Thursday","15/06/2023 18:30
Thursday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"16/06/2023 06:00
Friday","16/06/2023 18:30
Friday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours
VIC,AusNet,"20/06/2023 06:00
Tuesday","20/06/2023 18:00
Tuesday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2.5 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"NSW/ VIC
Maintenance
12 Hours",#REF!,12 Hours
VIC,AusNet,"21/06/2023 06:00
Wednesday","21/06/2023 18:00
Wednesday",Jindera - Wodonga (060) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2.5 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"NSW/ VIC
Maintenance
12 Hours",#REF!,12 Hours
VIC,AusNet,"22/06/2023 06:00
Thursday","22/06/2023 18:00
Thursday",Dederang - Wodonga 330 kV Line,"This is a high-impact outage if the forecast temperature at Red Cliffs is greater than 30 deg. C.
This line outage offloads X5 220 kV line. 
Possible load shedding and risk of large reduction in generation in NSW and interconnector capacity between  NSW - Victoria following a credible contingency",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours
VIC,AusNet,"23/06/2023 06:00
Friday","23/06/2023 18:00
Friday",Dederang - Wodonga 330 kV Line,"This is a high-impact outage if the forecast temperature at Red Cliffs is greater than 30 deg. C.
This line outage offloads X5 220 kV line. 
Possible load shedding and risk of large reduction in generation in NSW and interconnector capacity between  NSW - Victoria following a credible contingency",Day: 3.5 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,T,"VIC
Maintenance
12 Hours",#REF!,12 Hours
QLD,Powerlink,"03/07/2023 16:01
Monday","27/09/2023 08:00
Wednesday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 0 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Commissioning
85.7 Days",#REF!,85.7 Days
TAS,TasNetworks,"04/07/2023 15:00
Tuesday","04/07/2023 16:00
Tuesday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Commissioning
60 Minutes",#REF!,60 Minutes
VIC,AusNet,"19/07/2023 06:30
Wednesday","19/07/2023 17:00
Wednesday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10.5 Hours",#REF!,10.5 Hours
SA,ElectraNet,"19/07/2023 09:00
Wednesday","21/07/2023 16:30
Friday",Tailem Bend - Tungkillo 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 48 hrs-Night: 48 hrs,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,,,"SA
Maintenance
2.3 Days",#REF!,2.3 Days
VIC,AusNet,"20/07/2023 06:30
Thursday","20/07/2023 17:00
Thursday",Heywood - South East No.2 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10.5 Hours",#REF!,10.5 Hours
SA,ElectraNet,"21/07/2023 16:30
Friday","23/07/2023 16:30
Sunday",Tailem Bend - Tungkillo 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 48 hrs-Night: 48 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Maintenance
2 Days",#REF!,2 Days
SA,ElectraNet,"30/07/2023 05:30
Sunday","30/07/2023 11:00
Sunday",Tailem Bend - Tungkillo 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 48 hrs-Night: 48 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Maintenance
5.5 Hours",#REF!,5.5 Hours
QLD,Powerlink,"31/07/2023 07:00
Monday","18/08/2023 16:00
Friday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 72 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,,"QLD
Commissioning
18.4 Days",#REF!,18.4 Days
VIC,AusNet,"01/08/2023 07:00
Tuesday","01/08/2023 17:00
Tuesday",Crowland - Bulgana 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"08/08/2023 06:30
Tuesday","08/08/2023 17:00
Tuesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10.5 Hours",#REF!,10.5 Hours
TAS,TasNetworks,"29/08/2023 15:00
Tuesday","29/08/2023 16:30
Tuesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
1.5 Hours",#REF!,1.5 Hours
QLD,Powerlink,"31/08/2023 08:00
Thursday","31/08/2023 09:00
Thursday",Bouldercombe - Broadsound (820) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
60 Minutes",#REF!,60 Minutes
QLD,Powerlink,"31/08/2023 09:30
Thursday","31/08/2023 10:30
Thursday",Nebo - Broadsound (8847) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
60 Minutes",#REF!,60 Minutes
QLD,Powerlink,"31/08/2023 11:00
Thursday","31/08/2023 12:00
Thursday",Nebo - Broadsound (8846) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
60 Minutes",#REF!,60 Minutes
QLD,Powerlink,"31/08/2023 16:00
Thursday","31/08/2023 17:00
Thursday",Broadsound - Nebo (834) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Maintenance
1 Hours",#REF!,1 Hours
QLD,Powerlink,"01/09/2023 08:00
Friday","01/09/2023 09:00
Friday",Stanwell - Broadsound (8831) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
60 Minutes",#REF!,60 Minutes
QLD,Powerlink,"01/09/2023 09:00
Friday","01/09/2023 10:00
Friday",Stanwell - Broadsound (856) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may result in shedding Far North QLD load and Lilyvale local load.

Following a credible contingency market intervention through issuing of directions may be required. If market intervention is unsuccessful all of North QLD load would be in a credible risk",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
60 Minutes",#REF!,60 Minutes
QLD,Powerlink,"04/09/2023 07:00
Monday","11/10/2023 17:00
Wednesday",Bouldercombe - Nebo (821) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,,"QLD
Commissioning
37.4 Days",#REF!,37.4 Days
VIC,AusNet,"05/09/2023 07:00
Tuesday","05/09/2023 17:00
Tuesday",Heywood - Mortlake 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10 Hours",#REF!,10 Hours
QLD,Powerlink,"06/09/2023 08:00
Wednesday","07/09/2023 16:00
Thursday",Nebo - Strathmore (822) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 2 hrs-Night: 6 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,,"QLD
Commissioning
1.3 Days",#REF!,1.3 Days
QLD,Powerlink,"13/09/2023 11:05
Wednesday","13/09/2023 14:30
Wednesday",Ross No.4 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
3.4 Hours",#REF!,3.4 Hours
TAS,TasNetworks,"27/09/2023 07:00
Wednesday","27/09/2023 16:00
Wednesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
9 Hours",#REF!,9 Hours
QLD,Powerlink,"27/09/2023 08:01
Wednesday","15/12/2023 16:00
Friday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 0 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Commissioning
79.3 Days",#REF!,79.3 Days
TAS,TasNetworks,"02/10/2023 07:00
Monday","02/10/2023 15:00
Monday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
8 Hours",#REF!,8 Hours
NSW,Transgrid,"05/10/2023 03:30
Thursday","06/10/2023 19:00
Friday",Buronga-Balranald (X3) 220kV line,"<<NEW since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
During this planned outage power transfer will be restricted
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require:
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 24 hrs-Night: 24 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"NSW/VIC/SA
Commissioning
1.6 Days",#REF!,1.6 Days
TAS,TasNetworks,"11/10/2023 07:00
Wednesday","11/10/2023 15:20
Wednesday",George Town - George Town Converter Station 220 kV Line,Tasmania will be separated from the NEM,Day: 3 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Maintenance
8.3 Hours",#REF!,8.3 Hours
TAS,TasNetworks,"11/10/2023 14:00
Wednesday","11/10/2023 15:30
Wednesday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"TAS
Commissioning
1.5 Hours",#REF!,1.5 Hours
VIC,AusNet,"23/10/2023 06:00
Monday","23/10/2023 15:00
Monday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
9 Hours",#REF!,9 Hours
QLD,Powerlink,"16/11/2023 11:00
Thursday","16/11/2023 12:00
Thursday",Bouldercombe - Nebo (821) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Maintenance
60 Minutes",#REF!,60 Minutes
QLD,Powerlink,"08/12/2023 08:00
Friday","08/12/2023 16:00
Friday",Bouldercombe - Nebo (821) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
8 Hours",#REF!,8 Hours
QLD,Powerlink,"15/12/2023 16:01
Friday","09/02/2024 16:00
Friday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 0 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,,,"QLD
Commissioning
56 Days",#REF!,56 Days
VIC,AusNet,"19/12/2023 05:30
Tuesday","19/12/2023 16:00
Tuesday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours
VIC,AusNet,"31/12/2023 06:00
Sunday","31/12/2023 16:00
Sunday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"31/12/2023 06:00
Sunday","31/12/2023 16:00
Sunday",Bulgana - Horsham 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"31/12/2023 06:00
Sunday","31/12/2023 16:00
Sunday",Hazelwood - Loy Yang Power Station No.2 500 kV Line,"A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
10 Hours",#REF!,10 Hours
VIC,AusNet,"31/12/2023 06:00
Sunday","31/12/2023 16:00
Sunday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC / SA
Maintenance
10 Hours",#REF!,10 Hours
QLD,Powerlink,"08/02/2024 08:00
Thursday","09/02/2024 16:00
Friday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 5 hrs-Night: 8 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Commissioning
1.3 Days",#REF!,1.3 Days
QLD,Powerlink,"18/03/2024 09:00
Monday","20/03/2024 17:00
Wednesday",Nebo - Strathmore (8845) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 3 hrs-Night: 5 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,,"
Maintenance
2.3 Days",#REF!,2.3 Days
QLD,Powerlink,"22/04/2024 08:00
Monday","04/07/2024 17:00
Thursday",Ross No.2 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 72 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
73.4 Days",#REF!,73.4 Days
QLD,Powerlink,"03/07/2024 08:00
Wednesday","16/07/2024 17:00
Tuesday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 72 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
13.4 Days",#REF!,13.4 Days
QLD,Powerlink,"09/10/2024 07:00
Wednesday","21/10/2024 17:00
Monday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 72 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
12.4 Days",#REF!,12.4 Days
QLD,Powerlink,"23/04/2025 08:00
Wednesday","09/05/2025 17:00
Friday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 72 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
16.4 Days",#REF!,16.4 Days
QLD,Powerlink,"23/04/2025 08:00
Wednesday","05/09/2025 17:00
Friday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
135.4 Days",#REF!,135.4 Days
QLD,Powerlink,"23/04/2025 08:00
Wednesday","15/09/2025 17:00
Monday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
145.4 Days",#REF!,145.4 Days
QLD,Powerlink,"02/09/2025 08:00
Tuesday","15/09/2025 17:00
Monday",Strathmore - Ross (8858) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: NA-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"QLD
Commissioning
13.4 Days",#REF!,13.4 Days
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
,,,,,,,,"
",,,,,,,,
